ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,intercept,slope,logSigma
1,0,.99697437E-01,.32158599E-02,7,16,-3.3206601,1.3622440,1.7480747,-1.1804094
1,0,.99893031E-01,.0000000,7,7,-.97003724,1.0793603,2.0432465,-1.3125194
1,0,.99680384E-01,.0000000,7,13,-1.7021446,.85420477,2.1780868,-1.4128929
1,0,.99638307E-01,.36511653E-02,7,6,-2.4157396,1.0145293,1.9148605,-.83003987
1,0,.99635471E-01,.0000000,7,4,-3.3608724,.96039678,2.2904145,-.72530334
1,0,.99911107E-01,.0000000,7,7,-3.2754320,1.3578133,2.0121175,-.72196994
1,0,.10023196,.0000000,7,2,-2.9540533,1.1218958,1.9920829,-.54935498
1,0,.10026578,.0000000,7,1,-4.6420106,1.2864210,2.1902047,-.66625284
1,0,.10066288,.0000000,7,3,-2.2182404,1.0456097,1.9192234,-.83723440
1,0,.10062768,.28918537E-02,7,5,-3.6200802,1.3071410,1.7784619,-.50923631
1,0,.10098571,.0000000,7,1,-3.0264360,.95113000,1.8941080,-.87844193
1,0,.10114856,.0000000,7,8,-2.6400700,.84890432,1.9919600,-1.0926354
1,0,.10142465,.0000000,7,3,-1.6907607,1.0820644,1.9900264,-1.5671625
1,0,.10138447,.0000000,7,8,-2.0337157,1.1585126,1.8582002,-1.0748092
1,0,.10161590,.28047103E-02,7,5,-1.2097998,1.1194029,1.9724840,-1.4013233
1,0,.10167808,.0000000,7,29,-1.2700851,.93777140,2.0743932,-1.0230113
1,0,.10187538,.0000000,7,1,-1.7677409,.79551603,2.2299538,-1.1112284
1,0,.10189568,.51292205E-02,7,4,-3.0022984,1.0228065,2.0765785,-.53432078
1,0,.10214220,.0000000,7,4,-2.4777679,1.1584718,1.9332196,-.67971647
1,0,.10206246,.0000000,7,4,-4.4729916,1.6805216,1.6270341,-.74805785
1,0,.10237094,.17255550E-02,7,2,-2.2509280,1.1273712,2.0892747,-.79205469
1,0,.10259343,.0000000,7,2,-2.5017458,1.3095586,1.9165685,-.75108774
1,0,.10255769,.0000000,7,3,-4.0405785,.86283952,1.8829617,-.80531829
1,0,.10278622,.0000000,7,4,-2.4795850,1.3219357,1.8461494,-1.3122010
1,0,.10200766,.12756362E-02,7,39,-1.1603446,1.0803846,2.0505019,-1.4138915
1,0,.10214267,.0000000,7,7,-1.3022447,1.1993809,1.9449103,-1.1907597
1,0,.10211967,.0000000,7,3,-3.5184907,1.2392676,1.7388300,-.67541463
1,0,.10245990,.0000000,7,1,-3.1716440,.76643539,2.3121773,-.63499319
1,0,.10253159,.59737115E-02,7,10,-3.3111930,1.3502476,1.7155225,-.78541071
1,0,.10237887,.0000000,7,4,-8.9777453,1.3701252,1.5446435,-1.1562655
1,0,.10231326,.0000000,7,13,-4.7455605,1.4025436,1.5871849,-.52832197
1,0,.10250398,.0000000,7,5,-4.1037723,1.2883772,1.8145115,-.36318598
1,0,.10280140,.0000000,7,2,-2.2907545,1.3641524,1.8993967,-1.0347373
1,0,.10296390,.47015081E-02,7,3,-2.8305152,.77303218,2.0368647,-.85826892
1,0,.10320806,.0000000,7,5,-2.8542435,.70910660,2.1676164,-.67938579
1,0,.10354243,.0000000,7,1,-1.8262206,1.1816499,1.9220279,-.88217353
1,0,.10350992,.0000000,7,2,-5.1278150,1.4063108,2.1405571,-.53498405
